CodeC,NoImmat,DateDebLoc,CodeAGDep,DateFinLoc,KmDeb,KmFin,CodeAgRet
9,AA-001-DH,2025-08-18,142,2025-08-21,120434,120891,142
101,AA-001-AI,2025-08-18,142,2025-08-21,20320,21202,142
97,AA-001-DM,2025-09-10,70,2025-09-11,27046,27698,70
58,AA-001-DM,2025-05-16,5,2025-05-18,150615,151189,5
26,AA-001-DM,2025-05-16,5,2025-05-17,168004,168480,5
28,AA-001-DM,2025-05-16,5,2025-05-17,143934,144584,5
21,AA-001-CR,2025-09-25,14,2025-09-29,51204,51405,14
110,AA-001-CR,2025-09-25,14,2025-09-27,165185,165750,14
71,AA-001-BJ,2025-05-02,92,2025-05-04,116006,116374,92
15,AA-001-CD,2025-09-10,55,2025-09-11,113419,114143,55
11,AA-001-DP,2025-06-25,78,2025-06-28,172349,172624,78
5,AA-001-BS,2025-06-25,78,2025-06-26,52664,53024,78
63,AA-001-DT,2025-06-25,78,2025-06-29,132834,133033,78
24,AA-001-CR,2025-09-27,37,2025-09-30,81224,81940,37
83,AA-001-DL,2025-02-28,108,2025-03-02,17376,17665,108
66,AA-001-DL,2025-02-28,108,2025-03-01,11281,11810,108
60,AA-001-DL,2025-02-28,108,2025-03-01,135467,136132,108
15,AA-001-AR,2025-09-11,57,2025-09-12,45668,45897,55
23,AA-001-AN,2025-08-12,72,2025-08-13,93753,94569,71
74,AA-001-DB,2025-08-12,72,2025-08-13,178427,178733,71
103,AA-001-DM,2025-02-21,133,2025-02-24,121656,122288,133
65,AA-001-DL,2025-06-23,123,2025-06-27,80700,80821,123
7,AA-001-DK,2025-09-09,66,2025-09-10,41939,42467,65
120,AA-001-DM,2025-02-10,142,2025-02-12,23542,23887,142
98,AA-001-CR,2025-04-15,115,2025-04-16,152431,153181,115
95,AA-001-CR,2025-04-15,115,2025-04-16,64445,64590,115
13,AA-001-DA,2025-03-10,121,2025-03-14,5959,6294,123
41,AA-001-DW,2025-03-10,121,2025-03-15,129388,130060,123
7,AA-001-DS,2025-07-27,65,2025-07-28,19501,20118,65
30,AA-001-BH,2025-05-19,106,2025-05-20,157227,157462,106
104,AA-001-BL,2025-05-19,106,2025-05-22,151685,152140,106
50,AA-001-BJ,2025-06-21,9,2025-06-23,137715,137930,9
94,AA-001-BI,2025-06-21,9,2025-06-24,173298,173964,9
45,AA-001-DV,2025-01-10,108,2025-01-13,81597,82372,106
113,AA-001-CV,2025-08-07,143,2025-08-08,92603,93347,143
69,AA-001-BE,2025-08-07,143,2025-08-08,126603,127069,143
109,AA-001-DM,2025-02-21,137,2025-02-22,12012,12220,137
29,AA-001-DM,2025-02-21,137,2025-02-22,173935,174489,137
62,AA-001-DS,2025-09-03,14,2025-09-07,40549,40890,15
7,AA-001-DS,2025-03-19,65,2025-03-21,137260,137819,65
101,AA-001-CR,2025-06-02,143,2025-06-06,176525,176605,143
9,AA-001-CR,2025-06-02,143,2025-06-04,145392,146217,143
1,AA-001-CR,2025-04-02,121,2025-04-04,50675,50748,121
20,AA-001-DL,2025-02-09,18,2025-02-11,20465,20884,17
42,AA-001-BI,2025-06-03,90,2025-06-04,131237,131332,90
40,AA-001-CP,2025-06-03,90,2025-06-04,162895,163549,90
106,AA-001-AH,2025-06-03,90,2025-06-04,96879,97075,90
94,AA-001-DN,2025-07-03,9,2025-07-04,84149,84741,9
70,AA-001-DQ,2025-07-03,9,2025-07-04,178738,178978,9
50,AA-001-AD,2025-07-03,9,2025-07-06,31140,31652,9
60,AA-001-DL,2025-06-27,108,2025-06-30,153716,154081,107
66,AA-001-DL,2025-06-27,108,2025-07-03,72880,73206,107
83,AA-001-DL,2025-06-27,108,2025-07-03,37638,38265,107
24,AA-001-DS,2025-09-20,37,2025-09-21,177741,178229,39
91,AA-001-DL,2025-08-11,11,2025-08-13,124983,125513,12
55,AA-001-DL,2025-08-11,11,2025-08-13,90310,90880,12
15,AA-001-DL,2025-07-25,57,2025-07-28,63523,63961,57
79,AA-001-DL,2025-03-25,17,2025-03-27,19087,19849,17
19,AA-001-AC,2025-02-24,17,2025-02-26,90020,90859,17
109,AA-001-DM,2025-09-29,136,2025-10-01,121336,121879,138
12,AA-001-BX,2025-08-28,89,2025-08-29,175538,175780,89
42,AA-001-AC,2025-08-28,89,2025-08-30,142407,142915,89
1,AA-001-AN,2025-07-06,122,2025-07-10,50525,50891,122
47,AA-001-DS,2025-07-26,6,2025-07-30,138949,139581,6
