Ville,CP,Region
Abergement-Clémenciat,01400,Auvergne-Rhône-Alpes
Abergement-de-Varey,01640,Auvergne-Rhône-Alpes
Ambérieu-en-Bugey,01500,Auvergne-Rhône-Alpes
Ambérieux-en-Dombes,01330,Auvergne-Rhône-Alpes
Ambléon,01300,Auvergne-Rhône-Alpes
Ambronay,01500,Auvergne-Rhône-Alpes
Ambutrix,01500,Auvergne-Rhône-Alpes
Andert-et-Condon,01300,Auvergne-Rhône-Alpes
Anglefort,01350,Auvergne-Rhône-Alpes
Apremont,01100,Auvergne-Rhône-Alpes
Aranc,01110,Auvergne-Rhône-Alpes
Arandas,01230,Auvergne-Rhône-Alpes
Arbent,01100,Auvergne-Rhône-Alpes
Arboys en Bugey,01300,Auvergne-Rhône-Alpes
Arbigny,01190,Auvergne-Rhône-Alpes
Argis,01230,Auvergne-Rhône-Alpes
Armix,01510,Auvergne-Rhône-Alpes
Ars-sur-Formans,01480,Auvergne-Rhône-Alpes
Artemare,01510,Auvergne-Rhône-Alpes
Asnières-sur-Saône,01570,Auvergne-Rhône-Alpes
Attignat,01340,Auvergne-Rhône-Alpes
Bâgé-Dommartin,01380,Auvergne-Rhône-Alpes
Bâgé-le-Châtel,01380,Auvergne-Rhône-Alpes
Balan,01360,Auvergne-Rhône-Alpes
Baneins,01990,Auvergne-Rhône-Alpes
Beaupont,01270,Auvergne-Rhône-Alpes
Beauregard,01480,Auvergne-Rhône-Alpes
Bellignat,01100,Auvergne-Rhône-Alpes
Béligneux,01360,Auvergne-Rhône-Alpes
Bellegarde-sur-Valserine,01200,Auvergne-Rhône-Alpes
Belley,01300,Auvergne-Rhône-Alpes
Belleydoux,01130,Auvergne-Rhône-Alpes
Belmont-Luthézieu,01260,Auvergne-Rhône-Alpes
Bénonces,01470,Auvergne-Rhône-Alpes
Bény,01370,Auvergne-Rhône-Alpes
Béon,01350,Auvergne-Rhône-Alpes
Béréziat,01340,Auvergne-Rhône-Alpes
Bettant,01500,Auvergne-Rhône-Alpes
Bey,01290,Auvergne-Rhône-Alpes
Beynost,01700,Auvergne-Rhône-Alpes
Billiat,01200,Auvergne-Rhône-Alpes
Birieux,01330,Auvergne-Rhône-Alpes
Biziat,01290,Auvergne-Rhône-Alpes
Blyes,01150,Auvergne-Rhône-Alpes
Boisse,01120,Auvergne-Rhône-Alpes
Boissey,01190,Auvergne-Rhône-Alpes
Boissey,01380,Auvergne-Rhône-Alpes
Bolozon,01450,Auvergne-Rhône-Alpes
