"CodeSoc","DateDebSoc","CodeG","CodeAGDep","DateFinSoc","DateResaSoc","CodeAgRet"
"23412772661527","2022-08-19","3","146","2022-08-25","2022-07-14","83"
"16675263696923","2021-12-10","2","126","2021-12-24","2021-12-09","68"
"65566249373348","2024-10-16","3","45","2024-10-25","2024-09-10","47"
"94532380814008","2022-10-13","3","22","2022-10-14","2022-09-06","132"
"29378224529391","2024-02-01","2","127","2024-02-06","2024-01-12","10"
"22158649305494","2024-05-03","8","86","2024-05-11","2024-04-24","77"
"21806475533626","2022-01-05","8","47","2022-01-06","2022-01-02","12"
"63323967074368","2022-10-10","8","84","2022-10-22","2022-09-30","39"
"54771634497881","2022-12-08","2","120","2022-12-14","2022-11-03","44"
"57198241195598","2023-07-07","3","36","2023-07-15","2023-06-10","53"
"52721301541202","2023-07-11","8","121","2023-07-23","2023-07-05","54"
"35104074927247","2022-02-19","3","55","2022-02-20","2022-02-04","142"
"93575605313660","2023-02-06","2","89","2023-02-10","2022-12-29","131"
"91353961217109","2025-01-24","3","38","2025-01-27","2025-01-09","146"
"56301570407756","2023-05-04","2","33","2023-05-11","2023-04-01","108"
"54771634497881","2021-08-16","3","1","2021-08-28","2021-07-29","99"
"56301570407756","2024-02-25","2","26","2024-02-26","2024-01-15","142"
"60362039920918","2023-10-04","3","35","2023-10-17","2023-09-10","65"
"19688042759676","2024-08-06","8","22","2024-08-16","2024-08-04","42"
"80767867500085","2023-01-15","8","147","2023-01-16","2022-12-06","7"
"17714329814317","2025-09-16","8","119","2025-09-18","2025-08-14","66"
"90444751464970","2022-11-06","2","54","2022-11-18","2022-10-20","86"
"15075790748492","2021-06-24","3","119","2021-06-27","2021-06-08","71"
"16675263696923","2022-09-24","2","77","2022-09-25","2022-08-29","111"
"31935952274312","2024-10-22","2","112","2024-11-02","2024-09-11","73"
"14311775001461","2023-11-22","2","98","2023-11-30","2023-10-09","38"
"93575605313660","2024-09-09","3","48","2024-09-19","2024-08-27","116"
"89557732603090","2024-05-04","8","111","2024-05-18","2024-03-27","123"
"72777356436755","2021-01-19","3","94","2021-01-31","2020-12-11","75"
"15075790748492","2025-08-06","8","26","2025-08-07","2025-07-20","137"
"66067774000364","2025-02-07","8","23","2025-02-09","2025-01-13","34"
"60362039920918","2025-09-23","2","121","2025-10-04","2025-08-22","83"
"19688042759676","2021-04-08","3","140","2021-04-20","2021-03-14","2"
"27276983771370","2022-12-24","2","107","2022-12-25","2022-11-22","133"
"23412772661527","2025-02-26","8","115","2025-03-03","2025-02-14","43"
"89557732603090","2023-05-08","2","74","2023-05-21","2023-04-10","75"
"63323967074368","2021-07-22","2","56","2021-08-02","2021-06-07","143"
"89557732603090","2021-01-04","8","88","2021-01-05","2020-12-27","27"
"66067774000364","2025-05-09","2","47","2025-05-22","2025-04-29","102"
"80767867500085","2024-12-20","3","69","2024-12-21","2024-12-19","38"
"52721301541202","2023-10-09","2","93","2023-10-12","2023-09-01","5"
"23412772661527","2022-09-15","3","16","2022-09-20","2022-09-04","118"
"32694013584309","2023-11-22","3","137","2023-11-28","2023-11-08","134"
"65566249373348","2022-04-19","2","99","2022-04-21","2022-03-08","5"
"91353961217109","2024-02-08","8","38","2024-02-17","2024-01-09","137"
"52721301541202","2024-03-31","2","61","2024-04-14","2024-03-07","4"
"65566249373348","2022-01-28","2","75","2022-02-11","2021-12-27","46"
"70723576553460","2025-07-22","2","109","2025-08-03","2025-06-08","62"
"22158649305494","2021-09-23","2","67","2021-09-25","2021-09-11","119"
"94532380814008","2023-08-13","3","113","2023-08-19","2023-07-02","79"
"90444751464970","2024-05-30","2","103","2024-06-06","2024-05-02","27"
"52809577153890","2025-05-16","3","53","2025-05-18","2025-04-21","131"
"15075790748492","2021-06-20","2","21","2021-07-03","2021-05-20","143"
"54771634497881","2024-09-04","3","26","2024-09-06","2024-08-04","100"
"22158649305494","2023-02-24","2","7","2023-02-25","2023-02-02","68"
"70723576553460","2023-06-28","3","4","2023-07-05","2023-06-17","45"
"80767867500085","2022-10-27","3","140","2022-11-03","2022-09-29","51"
